session_id,tick,damage,is_crit,enemy_type
1773402624_9666,1,19,0,Wolf
1773402624_9666,2,18,0,Wolf
1773402920_7795,1,19,0,Elder Treant
1773402920_7795,2,29,1,Wolf
1773402920_7795,3,29,1,Wolf
1773402920_7795,4,18,0,Wolf
1773402920_7795,5,29,1,Wolf
1773402920_7795,6,29,1,Elder Treant
1773402920_7795,7,19,0,Slime
1773402920_7795,8,18,0,Elder Treant
1773402920_7795,9,18,0,Elder Treant
1773402920_7795,10,19,0,Slime
1773402964_4032,1,27,0,Wolf
1773402964_4032,2,25,0,Wolf
1773402964_4032,3,25,0,Slime
1773402964_4032,4,37,1,Elder Treant
1773402964_4032,5,26,0,Elder Treant
1773402964_4032,6,26,0,Elder Treant
1773402964_4032,7,24,0,Elder Treant
1773402964_4032,8,24,0,Elder Treant
1773402964_4032,9,25,0,Elder Treant
1773402964_4032,10,24,0,Elder Treant
1773402964_4032,11,25,0,Elder Treant
1773402964_4032,12,25,0,Elder Treant
1773402964_4032,13,25,0,Elder Treant
1773402964_4032,14,25,0,Elder Treant
1773402964_4032,15,25,0,Wolf
1773402964_4032,16,24,0,Wolf
1773402964_4032,17,26,0,Wolf
1773402964_4032,18,26,0,Wolf
1773402964_4032,19,25,0,Slime
1773402964_4032,20,25,0,Slime
1773402964_4032,21,25,0,Wolf
1773402964_4032,22,25,0,Wolf
1773402964_4032,23,25,0,Wolf
1773402964_4032,24,27,0,Wolf
1773402964_4032,25,25,0,Slime
1773402964_4032,26,26,0,Slime
1773402964_4032,27,25,0,Slime
1773402964_4032,28,25,0,Slime
1773402964_4032,29,26,0,Slime
1773402964_4032,30,26,0,Slime
1773402964_4032,31,25,0,Slime
1773402964_4032,32,24,0,Slime
1773402964_4032,33,25,0,Wolf
1773402964_4032,34,27,0,Wolf
1773402964_4032,35,27,0,Wolf
1773402964_4032,36,26,0,Wolf
1773402964_4032,37,82,1,Bat
1773402964_4032,38,53,0,Skeleton
1773402964_4032,39,51,0,Skeleton
1773402964_4032,40,74,1,Skeleton
1773402964_4032,41,51,0,Bat
1773402964_4032,42,52,0,Bat
1773402964_4032,43,80,1,Skeleton
1773402964_4032,44,51,0,Skeleton
1773402964_4032,45,51,0,Bone Overlord
1773402964_4032,46,49,0,Bone Overlord
1773402964_4032,47,51,0,Bone Overlord
1773402964_4032,48,52,0,Bone Overlord
1773402964_4032,49,50,0,Bone Overlord
1773402964_4032,50,48,0,Bone Overlord
1773403407_8797,1,19,0,Wolf
1773403407_8797,2,18,0,Wolf
1773403407_8797,3,18,0,Slime
1773403407_8797,4,18,0,Wolf
1773403963_3165,1,18,0,Wolf
1773403963_3165,2,27,1,Wolf
1773403963_3165,3,19,0,Slime
1773403963_3165,4,18,0,Slime
1773403963_3165,5,19,0,Wolf
1773403963_3165,6,19,0,Wolf
1773403963_3165,7,18,0,Elder Treant
1773403963_3165,8,18,0,Slime
1773403963_3165,9,18,0,Wolf
1773403963_3165,10,18,0,Wolf
1773403963_3165,11,27,1,Slime
1773403963_3165,12,18,0,Slime
1773404153_7124,1,27,0,Elder Treant
1773404153_7124,2,26,0,Elder Treant
1773404153_7124,3,26,0,Elder Treant
1773404153_7124,4,26,0,Elder Treant
1773404153_7124,5,25,0,Wolf
1773404153_7124,6,25,0,Elder Treant
1773404153_7124,7,27,0,Elder Treant
1773404153_7124,8,27,0,Wolf
1773404153_7124,9,27,0,Elder Treant
1773404221_5769,1,18,0,Slime
1773404221_5769,2,18,0,Slime
1773404221_5769,3,19,0,Slime
1773404221_5769,4,27,1,Slime
1773404221_5769,5,19,0,Slime
1773404221_5769,6,19,0,Elder Treant
1773404221_5769,7,18,0,Elder Treant
1773404221_5769,8,27,1,Slime
1773404221_5769,9,18,0,Slime
1773404221_5769,10,19,0,Wolf
1773404221_5769,11,19,0,Wolf
1773404221_5769,12,19,0,Slime
1773404221_5769,13,19,0,Slime
1773404221_5769,14,18,0,Slime
1773404221_5769,15,19,0,Elder Treant
1773404221_5769,16,18,0,Elder Treant
1773404221_5769,17,19,0,Elder Treant
